partner_transaction_id,member_id,merchant,optimized_date,transaction_amount,member_home_state,category
12663258823155273783286947544,1000692318475434125489936,airbnb,2019-03-18,226.3,Massachusetts,Travel & Transportation
14699253331329122400143841590,1000692318475434125489936,airbnb,2019-03-29,-181.81,Massachusetts,Travel & Transportation
21684263390490416336246399164,1000692318475434125489936,airbnb,2019-06-03,1049.94,Massachusetts,Travel & Transportation
16150035878531333561244611263,1000692318475434125489936,peloton,2021-11-26,1588.44,Massachusetts,Fitness
10121895152166839936679828496,1000692318475434125489936,peloton,2021-12-09,39,Massachusetts,Fitness
33743227394315274699848006885,1001138596348079586516408,airbnb,2021-04-17,530.65,Tennessee,Travel & Transportation
73994584039769494144456000728,1001138596348079586516408,airbnb,2021-06-16,530.64,Tennessee,Travel & Transportation
12700006706329366380178721988,1002963458242496635123428,airbnb,2016-10-03,105,Georgia,Travel & Transportation
78049184216726448343567457729,1002963458242496635123428,airbnb,2016-10-03,190,Georgia,Travel & Transportation
15927616034486496945257285261,1002963458242496635123428,nintendo,2017-05-09,10.81,Georgia,Home Entertainment
45856195783895189128404412137,1002963458242496635123428,nintendo,2017-05-09,8.65,Georgia,Home Entertainment
62259280319615070685747380308,1002963458242496635123428,nintendo,2017-05-09,27.05,Georgia,Home Entertainment
78901607127367616244937571080,1002963458242496635123428,nintendo,2017-05-09,21.64,Georgia,Home Entertainment
54004814647043876406433193694,1002963458242496635123428,airbnb,2017-12-22,13,Georgia,Travel & Transportation
19930935099858455977953386066,1002963458242496635123428,nintendo,2018-01-13,16.23,Georgia,Home Entertainment
47946718402692106172524114674,1002963458242496635123428,nintendo,2018-01-16,32.46,Georgia,Home Entertainment
77859324867607767427641812251,1002963458242496635123428,nintendo,2018-04-29,10.81,Georgia,Home Entertainment
7840450329199637590388023186,1002963458242496635123428,nintendo,2018-04-30,8.65,Georgia,Home Entertainment
72686202018113397194993961710,1002963458242496635123428,nintendo,2018-10-13,64.94,Georgia,Home Entertainment
58568697919834835268981895306,1002963458242496635123428,nintendo,2018-11-03,64.94,Georgia,Home Entertainment
16573279568663682228477938808,1002963458242496635123428,nintendo,2018-11-04,43.29,Georgia,Home Entertainment
37126492504976569912112388633,1002963458242496635123428,nintendo,2018-11-10,4.32,Georgia,Home Entertainment
12158954346458726750898225428,1002963458242496635123428,nintendo,2018-11-11,2.15,Georgia,Home Entertainment
69542467819871551640842853924,1002963458242496635123428,nintendo,2018-11-20,64.94,Georgia,Home Entertainment
21343792643226100231739115245,1002963458242496635123428,nintendo,2018-12-15,6.32,Georgia,Home Entertainment
17501118405058803899960007596,1002963458242496635123428,nintendo,2018-12-16,16.23,Georgia,Home Entertainment
31430907940874368793809463044,1002963458242496635123428,nintendo,2018-12-16,64.94,Georgia,Home Entertainment
1862783021877291524526676994,1002963458242496635123428,nintendo,2018-12-17,21.64,Georgia,Home Entertainment
73994166356740818246368001723,1002963458242496635123428,nintendo,2019-01-10,4.32,Georgia,Home Entertainment
70030432280775089492308027153,1002963458242496635123428,nintendo,2019-02-09,4.32,Georgia,Home Entertainment
77866205518849541220114162027,1002963458242496635123428,nintendo,2019-03-11,4.32,Georgia,Home Entertainment
37139594834142781797792921131,1002963458242496635123428,nintendo,2019-03-16,22.72,Georgia,Home Entertainment
44684815391419264926173624667,1002963458242496635123428,nintendo,2019-03-16,17.31,Georgia,Home Entertainment
58768163257855295062470950801,1002963458242496635123428,nintendo,2019-04-10,4.32,Georgia,Home Entertainment
12526972363860547341127481762,1002963458242496635123428,nintendo,2019-05-01,54.11,Georgia,Home Entertainment
18961315365439652949975057713,1002963458242496635123428,nintendo,2019-05-10,4.32,Georgia,Home Entertainment
12548263618642298755538982401,1002963458242496635123428,nintendo,2019-07-09,4.32,Georgia,Home Entertainment
53412925374609927636065759423,1002963458242496635123428,nintendo,2019-08-08,4.32,Georgia,Home Entertainment
10580595126443183398321092540,1002963458242496635123428,nintendo,2019-09-07,21.64,Georgia,Home Entertainment
20526020768648462071949434384,1002963458242496635123428,nintendo,2019-09-07,0.53,Georgia,Home Entertainment
48034195133890593783170102085,1002963458242496635123428,nintendo,2019-09-09,1.61,Georgia,Home Entertainment
54431952206856854860304476966,1002963458242496635123428,nintendo,2019-09-09,50,Georgia,Home Entertainment
11722525947293236821005554256,1002963458242496635123428,nintendo,2020-02-04,1.87,Georgia,Home Entertainment
74995593952135199016566038128,1002963458242496635123428,nintendo,2020-02-10,10.81,Georgia,Home Entertainment
28824497192327767603315990321,1002963458242496635123428,nintendo,2020-03-21,16.23,Georgia,Home Entertainment
76297427183068714656538454498,1002963458242496635123428,nintendo,2020-03-21,7.95,Georgia,Home Entertainment
15175957087546905110747575031,1002963458242496635123428,nintendo,2020-03-22,13.52,Georgia,Home Entertainment
52232594648549417932461949192,1002963458242496635123428,nintendo,2020-03-22,21.64,Georgia,Home Entertainment
60266679334514196174660101230,1002963458242496635123428,nintendo,2020-03-22,64.94,Georgia,Home Entertainment
12037834753714951315420842692,1002963458242496635123428,nintendo,2020-07-16,54.11,Georgia,Home Entertainment
16849492549599732051403415174,1002963458242496635123428,nintendo,2020-07-16,6.75,Georgia,Home Entertainment
