,u,i,ts,label,idx
0,341,7,1451606400.0,44.94,3876
1,250,3,1451606400.0,193.59,2544
2,344,4,1451606400.0,-138.24,3947
3,351,7,1451606400.0,20.94,4085
4,387,5,1451606400.0,10.0,4257
5,26,7,1451692800.0,19.67,343
6,424,3,1451692800.0,170.0,4815
7,431,3,1451779200.0,106.21,4882
8,458,3,1451779200.0,176.69,5171
9,328,3,1451865600.0,79.17,3751
10,424,3,1451865600.0,340.0,4816
11,213,3,1451952000.0,101.33,2187
12,26,7,1452038400.0,43.9,344
13,431,8,1452124800.0,20.0,4932
14,424,3,1452124800.0,-170.0,4817
15,110,8,1452211200.0,20.0,1099
16,48,7,1452384000.0,37.74,585
17,362,7,1452384000.0,53.24,4185
18,351,8,1452470400.0,20.0,4094
19,261,7,1452556800.0,21.75,2712
20,293,3,1452556800.0,79.24,3336
21,431,8,1452643200.0,41.77,4933
22,225,3,1452729600.0,95.58,2290
23,250,3,1452729600.0,94.09,2545
24,351,8,1452816000.0,38.0,4095
25,110,8,1452988800.0,84.37,1100
26,265,3,1452988800.0,101.58,2931
27,110,7,1453161600.0,21.6,1090
28,480,1,1453161600.0,779.0,5384
29,316,3,1453248000.0,13.72,3614
30,256,4,1453334400.0,104.86,2592
31,375,9,1453420800.0,95.0,4218
32,42,3,1453507200.0,141.84,504
33,91,7,1453507200.0,79.5,933
34,305,8,1453507200.0,20.0,3513
35,315,5,1453593600.0,31.79,3610
36,301,3,1453680000.0,86.3,3448
37,377,1,1453852800.0,1705.0,4220
38,256,7,1453852800.0,303.88,2593
39,341,7,1453939200.0,31.03,3877
40,289,2,1454112000.0,13.94,3225
41,500,7,1454112000.0,28.15,5535
42,390,5,1454112000.0,1.45,4314
43,390,5,1454198400.0,50.0,4315
44,305,8,1454198400.0,194.5,3514
45,31,5,1454284800.0,0.5,375
46,431,3,1454457600.0,69.79,4883
47,431,8,1454457600.0,20.0,4934
48,328,3,1454457600.0,84.52,3752
49,305,8,1454544000.0,20.0,3515
50,110,8,1454544000.0,20.0,1101
51,458,3,1454544000.0,205.3,5172
52,362,7,1454630400.0,104.76,4186
53,493,5,1454630400.0,10.0,5482
54,305,8,1454630400.0,20.0,3516
55,68,7,1454716800.0,30.0,779
56,483,7,1454889600.0,41.83,5404
57,317,8,1454976000.0,20.0,3623
58,377,7,1454976000.0,95.4,4229
59,431,8,1455062400.0,114.19,4935
60,251,10,1455148800.0,62.53,2561
61,419,4,1455235200.0,88.0,4703
62,146,5,1455235200.0,30.0,1509
63,419,2,1455235200.0,12.5,4623
64,305,8,1455235200.0,347.5,3517
65,225,3,1455235200.0,100.86,2291
66,293,3,1455321600.0,84.39,3337
67,265,2,1455321600.0,5.67,2862
68,265,3,1455667200.0,106.92,2932
69,48,7,1455667200.0,43.55,586
70,461,5,1455753600.0,20.0,5218
71,289,2,1455753600.0,3.52,3226
72,461,5,1455840000.0,100.0,5219
73,370,7,1455840000.0,24.61,4207
74,42,3,1455926400.0,153.83,505
75,479,1,1455926400.0,373.0,5369
76,493,5,1455926400.0,20.0,5483
77,91,7,1456012800.0,109.18,934
78,316,3,1456099200.0,13.72,3615
79,317,8,1456099200.0,82.0,3624
80,144,7,1456185600.0,40.6,1463
81,171,2,1456185600.0,2.47,1787
82,158,7,1456185600.0,63.87,1643
83,150,10,1456272000.0,27.52,1553
84,18,10,1456358400.0,587.35,245
85,146,5,1456358400.0,13.58,1510
86,328,3,1456358400.0,186.76,3753
87,301,3,1456358400.0,82.06,3449
88,369,7,1456444800.0,25.44,4206
89,203,9,1456444800.0,125.0,1990
90,377,7,1456444800.0,11.0,4230
91,149,5,1456531200.0,10.0,1549
92,187,4,1456617600.0,114.48,1900
93,317,8,1456617600.0,20.0,3625
94,213,3,1456617600.0,106.33,2188
95,470,5,1456704000.0,20.0,5306
96,114,9,1456704000.0,125.0,1156
97,452,4,1456790400.0,31.73,5138
98,175,7,1456876800.0,43.41,1792
99,431,8,1456876800.0,20.0,4936
100,146,5,1456963200.0,10.71,1511
101,121,5,1457049600.0,10.85,1190
102,236,7,1457049600.0,47.7,2428
103,458,3,1457136000.0,187.54,5173
104,205,7,1457136000.0,83.16,1997
105,431,3,1457136000.0,75.92,4884
106,419,2,1457308800.0,7.01,4624
107,317,8,1457308800.0,72.0,3626
108,377,1,1457481600.0,1705.0,4221
