,u,i,name,ts,label,cat,subcat,state,idx,cat_subcat
0,1350,1733,AutoZone,2400,19.47,Autos,Auto Parts & Services,Texas,20239,Autos - Auto Parts & Services
1,956,1839,Panera Bread,2400,12.28,Restaurants,Fast Casual,Oregon,14664,Restaurants - Fast Casual
2,1689,1879,Sonic Drive-In,2400,16.76,Restaurants,QSR,Alabama,24492,Restaurants - QSR
3,1114,1884,Taco Bell,2400,7.86,Restaurants,QSR,California,16996,Restaurants - QSR
4,515,1802,Joe's Crab Shack,2400,42.54,Restaurants,Casual Dining,Florida,8091,Restaurants - Casual Dining
5,54,1884,Taco Bell,2400,9.41,Restaurants,QSR,Kentucky,674,Restaurants - QSR
6,1310,1879,Sonic Drive-In,2400,26.59,Restaurants,QSR,Texas,19756,Restaurants - QSR
7,1143,1878,Smoothie King,2400,10.01,Restaurants,QSR,Texas,17360,Restaurants - QSR
8,822,1846,Pizza Hut,2400,26.22,Restaurants,QSR,Missouri,12648,Restaurants - QSR
9,675,1884,Taco Bell,2400,10.35,Restaurants,QSR,Pennsylvania,10685,Restaurants - QSR
10,1560,1839,Panera Bread,2400,14.28,Restaurants,Fast Casual,Michigan,22917,Restaurants - Fast Casual
11,41,1800,Ingles Markets,2400,20.0,Grocers,Supermarkets,South Carolina,547,Grocers - Supermarkets
12,233,1884,Taco Bell,2400,7.45,Restaurants,QSR,North Carolina,3531,Restaurants - QSR
13,822,1839,Panera Bread,2400,15.48,Restaurants,Fast Casual,Missouri,12647,Restaurants - Fast Casual
14,1024,1729,Au Bon Pain,2400,8.61,Restaurants,QSR,Arizona,15655,Restaurants - QSR
15,649,1733,AutoZone,2400,54.1,Autos,Auto Parts & Services,Texas,10210,Autos - Auto Parts & Services
16,23,1879,Sonic Drive-In,2400,15.13,Restaurants,QSR,Maryland,299,Restaurants - QSR
17,1390,1733,AutoZone,2400,-31.86,Autos,Auto Parts & Services,New Mexico,20787,Autos - Auto Parts & Services
18,1347,1907,Whole Foods Market,2400,25.76,Grocers,Supermarkets,New York,20189,Grocers - Supermarkets
19,489,1733,AutoZone,2400,7.48,Autos,Auto Parts & Services,New Jersey,7447,Autos - Auto Parts & Services
20,1027,1733,AutoZone,2400,7.61,Autos,Auto Parts & Services,Georgia,15689,Autos - Auto Parts & Services
21,1004,1883,TGI Fridays,2400,80.66,Restaurants,Casual Dining,West Virginia,15380,Restaurants - Casual Dining
22,133,1838,Panda Express,2400,7.41,Restaurants,Fast Casual,Indiana,2010,Restaurants - Fast Casual
23,944,1721,AAA,2400,119.0,Autos,Auto Parts & Services,California,14250,Autos - Auto Parts & Services
24,1347,1803,Juice Generation,2400,9.2,Restaurants,QSR,New York,20161,Restaurants - QSR
25,41,1903,Waffle House,2400,27.5,Restaurants,Casual Dining,South Carolina,573,Restaurants - Casual Dining
26,880,1863,Rosa's Cafe,2400,8.42,Restaurants,Fast Casual,Louisiana,13336,Restaurants - Fast Casual
27,300,1886,Texas Roadhouse,2400,110.0,Restaurants,Casual Dining,Arizona,4674,Restaurants - Casual Dining
28,1704,1846,Pizza Hut,2400,21.9,Restaurants,QSR,Washington,24775,Restaurants - QSR
29,1109,1787,Fry's,2400,147.82,Grocers,Supermarkets,Texas,16889,Grocers - Supermarkets
30,1180,1787,Fry's,2400,122.82,Grocers,Supermarkets,Arizona,17757,Grocers - Supermarkets
31,1071,1838,Panda Express,2400,8.07,Restaurants,Fast Casual,Georgia,16411,Restaurants - Fast Casual
32,47,1872,ShopRite,2400,6.99,Grocers,Supermarkets,Pennsylvania,601,Grocers - Supermarkets
33,243,1789,Golden Chick,2400,11.2,Restaurants,QSR,South Carolina,3645,Restaurants - QSR
34,990,1912,Zips Car Wash,2400,21.95,Autos,Auto Parts & Services,Texas,15146,Autos - Auto Parts & Services
35,129,1884,Taco Bell,2400,12.57,Restaurants,QSR,Ohio,1931,Restaurants - QSR
36,1049,1884,Taco Bell,2400,19.23,Restaurants,QSR,Arizona,16041,Restaurants - QSR
37,1308,1837,Outback Steakhouse,2400,33.66,Restaurants,Casual Dining,Pennsylvania,19674,Restaurants - Casual Dining
38,1072,1879,Sonic Drive-In,2400,7.05,Restaurants,QSR,Illinois,16426,Restaurants - QSR
39,1542,1884,Taco Bell,2400,14.46,Restaurants,QSR,Oklahoma,22719,Restaurants - QSR
40,561,1907,Whole Foods Market,2400,17.4,Grocers,Supermarkets,Virginia,8848,Grocers - Supermarkets
41,880,1839,Panera Bread,2400,30.42,Restaurants,Fast Casual,Louisiana,13330,Restaurants - Fast Casual
42,54,1906,White Castle,2400,8.94,Restaurants,QSR,Kentucky,683,Restaurants - QSR
43,291,1731,Auntie Anne's,2400,12.56,Restaurants,QSR,Illinois,4591,Restaurants - QSR
44,1053,1839,Panera Bread,2400,19.9,Restaurants,Fast Casual,Ohio,16143,Restaurants - Fast Casual
45,82,1894,Trader Joe's,2401,33.92,Grocers,Supermarkets,Texas,1077,Grocers - Supermarkets
46,933,1906,White Castle,2401,9.01,Restaurants,QSR,Illinois,14175,Restaurants - QSR
47,1347,1907,Whole Foods Market,2401,50.45,Grocers,Supermarkets,New York,20190,Grocers - Supermarkets
48,1095,1839,Panera Bread,2401,9.07,Restaurants,Fast Casual,New Jersey,16723,Restaurants - Fast Casual
49,1200,1839,Panera Bread,2401,11.87,Restaurants,Fast Casual,Ohio,17978,Restaurants - Fast Casual
50,44,1879,Sonic Drive-In,2401,19.58,Restaurants,QSR,Maryland,586,Restaurants - QSR
51,999,1884,Taco Bell,2401,8.12,Restaurants,QSR,South Carolina,15311,Restaurants - QSR
52,1071,1884,Taco Bell,2401,13.9,Restaurants,QSR,Georgia,16418,Restaurants - QSR
53,1071,1879,Sonic Drive-In,2401,6.2,Restaurants,QSR,Georgia,16416,Restaurants - QSR
54,1019,1854,Quaker Steak & Lube,2401,36.21,Restaurants,Casual Dining,Pennsylvania,15589,Restaurants - Casual Dining
55,254,1724,Albertsons,2401,17.59,Grocers,Supermarkets,Florida,4005,Grocers - Supermarkets
56,1027,1733,AutoZone,2401,4.76,Autos,Auto Parts & Services,Georgia,15690,Autos - Auto Parts & Services
57,483,1879,Sonic Drive-In,2401,8.15,Restaurants,QSR,Alabama,7378,Restaurants - QSR
58,1109,1787,Fry's,2401,22.2,Grocers,Supermarkets,Texas,16890,Grocers - Supermarkets
59,1466,1846,Pizza Hut,2401,9.9,Restaurants,QSR,Oklahoma,21686,Restaurants - QSR
60,282,1733,AutoZone,2401,16.55,Autos,Auto Parts & Services,Indiana,4407,Autos - Auto Parts & Services
61,1347,1851,Pret A Manger,2401,6.52,Restaurants,Fast Casual,New York,20169,Restaurants - Fast Casual
62,25,1843,Pei Wei,2401,34.07,Restaurants,Casual Dining,Nevada,328,Restaurants - Casual Dining
63,1429,1884,Taco Bell,2401,6.47,Restaurants,QSR,Texas,21384,Restaurants - QSR
64,225,1839,Panera Bread,2401,5.48,Restaurants,Fast Casual,Illinois,3444,Restaurants - Fast Casual
65,1200,1733,AutoZone,2401,40.54,Autos,Auto Parts & Services,Ohio,17972,Autos - Auto Parts & Services
66,1155,1733,AutoZone,2401,6.42,Autos,Auto Parts & Services,Ohio,17523,Autos - Auto Parts & Services
67,493,1727,Applebee's,2401,27.35,Restaurants,Casual Dining,Kentucky,7662,Restaurants - Casual Dining
68,409,1876,Smashburger,2401,12.51,Restaurants,Fast Casual,Texas,6325,Restaurants - Fast Casual
69,1695,1894,Trader Joe's,2401,39.47,Grocers,Supermarkets,Texas,24622,Grocers - Supermarkets
70,960,1903,Waffle House,2401,18.87,Restaurants,Casual Dining,Michigan,14733,Restaurants - Casual Dining
71,731,1731,Auntie Anne's,2401,3.34,Restaurants,QSR,Virginia,11408,Restaurants - QSR
72,1412,1883,TGI Fridays,2401,18.25,Restaurants,Casual Dining,Pennsylvania,21091,Restaurants - Casual Dining
73,1510,1907,Whole Foods Market,2401,7.4,Grocers,Supermarkets,Texas,22232,Grocers - Supermarkets
74,453,1727,Applebee's,2401,47.67,Restaurants,Casual Dining,Indiana,6992,Restaurants - Casual Dining
75,718,1733,AutoZone,2401,55.620000000000005,Autos,Auto Parts & Services,Pennsylvania,11141,Autos - Auto Parts & Services
76,1359,1907,Whole Foods Market,2401,5.29,Grocers,Supermarkets,Georgia,20453,Grocers - Supermarkets
77,74,1839,Panera Bread,2401,7.25,Restaurants,Fast Casual,New Jersey,990,Restaurants - Fast Casual
78,661,1905,Which Wich,2401,14.7,Restaurants,Fast Casual,Minnesota,10405,Restaurants - Fast Casual
79,1035,1901,Vons,2401,9.97,Grocers,Supermarkets,California,15860,Grocers - Supermarkets
80,1622,1760,Dairy Queen,2401,13.76,Restaurants,QSR,Pennsylvania,23758,Restaurants - QSR
81,106,1884,Taco Bell,2401,1.58,Restaurants,QSR,Washington,1471,Restaurants - QSR
82,564,1879,Sonic Drive-In,2401,29.65,Restaurants,QSR,Washington,8919,Restaurants - QSR
83,1310,1846,Pizza Hut,2401,20.03,Restaurants,QSR,Texas,19752,Restaurants - QSR
84,1019,1799,Houlihan's,2401,4.19,Restaurants,Casual Dining,Pennsylvania,15579,Restaurants - Casual Dining
85,914,1884,Taco Bell,2401,10.38,Restaurants,QSR,Maryland,13933,Restaurants - QSR
86,708,1760,Dairy Queen,2401,8.66,Restaurants,QSR,Pennsylvania,11068,Restaurants - QSR
87,853,1839,Panera Bread,2401,4.24,Restaurants,Fast Casual,Indiana,13015,Restaurants - Fast Casual
88,1500,1733,AutoZone,2401,21.39,Autos,Auto Parts & Services,Indiana,22023,Autos - Auto Parts & Services
89,999,1840,Papa John's,2401,21.79,Restaurants,QSR,South Carolina,15308,Restaurants - QSR
90,675,1731,Auntie Anne's,2401,3.63,Restaurants,QSR,Pennsylvania,10671,Restaurants - QSR
91,1019,1884,Taco Bell,2401,6.29,Restaurants,QSR,Pennsylvania,15591,Restaurants - QSR
92,1493,1908,Woodman's Market,2401,23.19,Grocers,Supermarkets,Wisconsin,21970,Grocers - Supermarkets
93,1704,1724,Albertsons,2401,58.85,Grocers,Supermarkets,Washington,24727,Grocers - Supermarkets
94,927,1846,Pizza Hut,2401,15.34,Restaurants,QSR,Louisiana,14072,Restaurants - QSR
95,1558,1749,Chili's,2401,12.6,Restaurants,Casual Dining,Colorado,22900,Restaurants - Casual Dining
96,944,1857,Raley's,2402,20.18,Grocers,Supermarkets,California,14278,Grocers - Supermarkets
97,944,1844,Pep Boys,2402,29.51,Autos,Auto Parts & Services,California,14272,Autos - Auto Parts & Services
98,1391,1839,Panera Bread,2402,9.5,Restaurants,Fast Casual,Massachusetts,20854,Restaurants - Fast Casual
99,1145,1838,Panda Express,2402,14.75,Restaurants,Fast Casual,Missouri,17368,Restaurants - Fast Casual
100,218,1836,Olive Garden,2402,66.21,Restaurants,Casual Dining,Georgia,3332,Restaurants - Casual Dining
101,416,1843,Pei Wei,2402,34.48,Restaurants,Casual Dining,Texas,6408,Restaurants - Casual Dining
102,449,1883,TGI Fridays,2402,9.0,Restaurants,Casual Dining,Pennsylvania,6963,Restaurants - Casual Dining
103,455,1884,Taco Bell,2402,8.83,Restaurants,QSR,South Carolina,7064,Restaurants - QSR
104,648,1727,Applebee's,2402,20.0,Restaurants,Casual Dining,Ohio,10163,Restaurants - Casual Dining
